НАЗИВ УЛИЦЕ;НАЗИВ ШКОЛЕ;Slika;Telefon;adresa;Email;sajt
Андрије Славуја;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-489;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Боже Милановића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-490;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Боре Тирића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-491;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Боривоја Јевтића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-492;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Васе Андолије;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-493;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Владике Николаја Ружичића;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-494;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Војводе Бране;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-495;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Војводе Путника-десна страна од центра града;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-496;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Гаврила Принципа ;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-497;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
Гетеова;"ОШ ""Ната Јеличић"" Шабац";https://i.ibb.co/kyYVnw6/Natina-skola.jpg;015/343-716, 015/342-498;Јеле Спиридоновић Савић 5, 15000 Шабац;natajelicic@gmail.com;www.os-natajelicic.edu.rs
